Question,Answer,Answer,Answer,Answer,Correct Answer (#)
What is the face of our glorious party,Big Brother,The Brotherhood,Julia,Goldstein,1
What is our language,New Speak,OldSpeak,Doublethink,Ingsoc,1
What is not a slogan we use,Ignorance is Strength,War is Peace,Freedom is Slavery,Big Brother Never Watches,4
What is the Ministry of Truths purpose,Fixing history,Maintaining Law and Order,Promoting love for Big Brother,Distributing Resources,1
What is the name of the surveillance system in Oceania,Memory Hole,Telescreen,Thought Police,Ministry of Love,2
Who is our enemy,Eastasia,The Party,Eurasia,None of the Above,3
Why do we partake in the Two Minutes of Hate,To express love to the enemy,To express work with the Brotherhood,Why not lol,To showcase anger to the enemy,4
What is the Ministry of Loves purpose,To promote Love,To spread Love,To monitor anti-citizens,To spread Freedom,3
What is the main purpose of the Thought Police,To spread anarchy,To ensure the protection of citizens from Thought Criminals,To protect ONLY upper class,None of the Above,2
Freedom Is ______,Slavery,Love,Freedom,1984,1
Ignorance Is ____,Bad,Strength,A Necessary Evil,Just Okay,2
What is the best ideology,Democracy,Socialism,Capitalism,Anarchy,2
Who of the old world is a tophatted monster,Socialist,Capitalist,Yo Mama,George Orwell,2
What is the purpose of the Ministry Of Peace,To promote peace,To maintain control,To give free rights,To encourage cooperation,2
What is the primary purpose of the Telescreen,To provide entertainment,To monitor your actions,To display the news,To help promote freewill,2
